year,set,stratum,latitude,longitude,catch,lcatch,tempC,depth,Nndx,kseal,srisk
1971,56,439,47.7,-60.53333333,1.405647329,0.877819027,4.9,264.5,1.619772139,13.72566182,0.006549447
1971,45,420,47.65,-64.53333333,0,0,9.7,26,1.619772139,13.72566182,0.014178526
1971,21,416,48.48333333,-63.3,0.702823664,0.532287852,1.1,106,1.619772139,13.72566182,0.026452713
1971,11,417,48.28333333,-63.65,0,0,1.3,89.5,1.619772139,13.72566182,0.042496886
1971,54,431,46.85,-61.76666667,0,0,0.9,63.5,1.619772139,13.72566182,0.028397159
1971,9,417,48.38333333,-64.05,0,0,0.6,81,1.619772139,13.72566182,0.082977871
1971,30,435,47.75,-61.3,0,0,11.6,25.5,1.619772139,13.72566182,0.012766416
1971,16,415,48.85,-63.96666667,0,0,4.3,230,1.619772139,13.72566182,0.034910864
1971,1,418,48.01666667,-64.76666667,1.706857471,0.995788357,0.7,66,1.619772139,13.72566182,0.006711835
1971,46,420,47.6,-64.5,0,0,10.6,29,1.619772139,13.72566182,0.015189861
1971,18,415,48.75,-63.38333333,0,0,4.4,229.5,1.619772139,13.72566182,0.015506484
1971,67,432,45.95,-62.53333333,0,0,6.5,50,1.619772139,13.72566182,0.066601468
1971,31,438,47.95,-60.9,0.796533486,0.585858967,2.5,160,1.619772139,13.72566182,0.007778895
1971,2,418,47.96666667,-65.11666667,0.702823664,0.532287852,1,78.5,1.619772139,13.72566182,0.008166879
1971,15,416,48.68333333,-63.86666667,0,0,3.5,141.5,1.619772139,13.72566182,0.037522624
1971,39,429,47.03333333,-63.56666667,0,0,0.2,49.5,1.619772139,13.72566182,0.069375685
1971,33,427,48.06666667,-61.41666667,4.48050086,1.701196495,0.4,74,1.619772139,13.72566182,0.009833696
1971,6,417,48.21666667,-64.48333333,0,0,0.8,97,1.619772139,13.72566182,0.0272821
1971,34,427,48.01666667,-61.56666667,2.24025043,1.17565062,0.6,59,1.619772139,13.72566182,0.00720869
1971,38,429,47.1,-63.11666667,0,0,0.1,62,1.619772139,13.72566182,0.051534891
1971,51,435,47.33333333,-61.33333333,1.32755581,0.844818708,11.4,33,1.619772139,13.72566182,0.01733595
1971,61,436,47.26666667,-60.68333333,3.514118322,1.50720989,1.8,62.5,1.619772139,13.72566182,0.013682453
1971,52,431,47.05,-62,0,0,0.4,49,1.619772139,13.72566182,0.030482911
1971,41,422,47.31666667,-64.2,1.405647329,0.877819027,1.4,49.5,1.619772139,13.72566182,0.018832445
1971,63,437,47.1,-60.96666667,1.493500287,0.913687461,1.7,99.5,1.619772139,13.72566182,0.017234408
1971,8,417,48.31666667,-64.25,2.987000574,1.383039212,1.3,118,1.619772139,13.72566182,0.070930844
1971,40,429,47.03333333,-63.76666667,0,0,1.1,45,1.619772139,13.72566182,0.026678212
1971,14,416,48.68333333,-63.63333333,0,0,2.5,137.5,1.619772139,13.72566182,0.028150179
1971,66,432,45.9,-62.7,0,0,12.3,36.5,1.619772139,13.72566182,0.092647833
1971,60,436,47.4,-60.7,10.45450201,2.438382841,0.8,59.5,1.619772139,13.72566182,0.010798651
1971,3,419,47.93333333,-65.25,0,0,0.7,70,1.619772139,13.72566182,0.00731678
1971,23,424,48.3,-62.8,0,0,0.9,90.5,1.619772139,13.72566182,0.027063382
1971,50,434,46.75,-61.46666667,5.974001147,1.942189113,0.9,69,1.619772139,13.72566182,0.05759834
1971,48,421,46.86666667,-64.48333333,1.405647329,0.877819027,5.6,29,1.619772139,13.72566182,0.025523939
1971,12,416,48.31666667,-63.48333333,1.493500287,0.913687461,1.3,97,1.619772139,13.72566182,0.039639547
1971,43,422,47.46666667,-64.36666667,1.493500287,0.913687461,4.5,45,1.619772139,13.72566182,0.017176581
1971,5,418,48.03333333,-64.61666667,0,0,1.5,49.5,1.619772139,13.72566182,0.010358359
1971,20,424,48.2,-63.16666667,0,0,0.5,67.5,1.619772139,13.72566182,0.035644089
1971,22,425,48.46666667,-62.95,0.663777905,0.509090863,4.6,240.5,1.619772139,13.72566182,0.026052239
1971,28,428,47.61666667,-61.96666667,0,0,7.9,35,1.619772139,13.72566182,0.04257327
1971,29,428,47.65,-61.75,1.194800229,0.786091031,11.7,29,1.619772139,13.72566182,0.02570848
1971,37,429,47.11666667,-62.88333333,0,0,0.5,59,1.619772139,13.72566182,0.05695554
1971,19,416,48.48333333,-63.43333333,0,0,1.2,108,1.619772139,13.72566182,0.030893692
1971,59,437,47.11666667,-60.36666667,6.51709216,2.017179382,3.7,162,1.619772139,13.72566182,0.007240698
1971,17,415,48.78333333,-63.53333333,0,0,4.8,206,1.619772139,13.72566182,0.021326329
1971,64,433,46.21666667,-61.76666667,0,0,2.3,53,1.619772139,13.72566182,0.012845133
1971,10,417,48.16666667,-63.93333333,0,0,0.2,62,1.619772139,13.72566182,0.037717323
1971,35,425,48.31666667,-62.06666667,0,0,4.7,195.5,1.619772139,13.72566182,0.026661027
1971,58,438,47.36666667,-60.33333333,0,0,1.9,112.5,1.619772139,13.72566182,0.006058384
1971,7,417,48.13333333,-64.33333333,3.186133945,1.431777622,5,38.5,1.619772139,13.72566182,0.02843824
1971,53,431,46.91666667,-61.83333333,0.663777905,0.509090863,0.4,56,1.619772139,13.72566182,0.031531853
1971,62,437,47.15,-60.63333333,0.796533486,0.585858967,4.1,178,1.619772139,13.72566182,0.017090755
1971,49,421,46.98333333,-64.25,0.663777905,0.509090863,3.8,26.5,1.619772139,13.72566182,0.032125104
1971,44,422,47.76666667,-64.13333333,3.773053356,1.562986217,0.6,75,1.619772139,13.72566182,0.016630739
1971,42,422,47.45,-64.4,2.389600459,1.220712056,1.9,47,1.619772139,13.72566182,0.015848432
1971,25,426,48.26666667,-62.65,0,0,0.8,99,1.619772139,13.72566182,0.02420504
1971,36,423,47.4,-62.96666667,1.991333716,1.095719347,1,53,1.619772139,13.72566182,0.048635908
